restaurant_id,dish_name,description,category,meal_type,cuisine,calories,protein,carbs,fat,fiber,price,is_veg,image_url,ingredients,allergens,healthy_score,popularity_score,prep_time,spice_level,available
13,Paneer Protein Plate 13,Healthy chef special #13,Meal,Breakfast,Healthy Indian,434,28,40,14,8,269,true,,Fresh ingredients,Milk,97,92,10,None,true
14,Turkey Wrap 14,Healthy chef special #14,Wrap,Lunch,Continental,441,31,45,16,9,289,false,,Fresh ingredients,,98,93,15,Mild,true
15,Avocado Chicken Bowl 15,Healthy chef special #15,Bowl,Dinner,Mediterranean,448,34,50,18,10,299,false,,Fresh ingredients,,99,94,20,Medium,true
1,Salmon Power Bowl 16,Healthy chef special #16,Bowl,Breakfast,Mexican,455,37,55,20,11,329,false,,Fresh ingredients,,85,95,25,None,true
2,Lean Beef Bowl 17,Healthy chef special #17,Bowl,Lunch,Healthy Indian,462,40,60,22,4,179,false,,Fresh ingredients,,86,96,10,Mild,true
3,Moong Protein Bowl 18,Healthy chef special #18,Bowl,Dinner,Continental,469,43,65,24,5,199,true,,Fresh ingredients,,87,97,15,Medium,true
4,Protein Pancakes 19,Healthy chef special #19,Meal,Breakfast,Mediterranean,476,46,25,8,6,219,true,,Fresh ingredients,,88,98,20,None,true
5,Chicken Tikka Bowl 20,Healthy chef special #20,Bowl,Lunch,Mexican,483,49,30,10,7,249,false,,Fresh ingredients,,89,99,25,Mild,true
6,Grilled Chicken Power Bowl 21,Healthy chef special #21,Bowl,Dinner,Healthy Indian,490,22,35,12,8,269,false,,Fresh ingredients,,90,80,10,Medium,true
7,High Protein Paneer Bowl 22,Healthy chef special #22,Bowl,Breakfast,Continental,497,25,40,14,9,289,true,,Fresh ingredients,Milk,91,81,15,None,true
8,Egg White Wrap 23,Healthy chef special #23,Wrap,Lunch,Mediterranean,504,28,45,16,10,299,false,,Fresh ingredients,,92,82,20,Mild,true
9,Chicken Burrito Bowl 24,Healthy chef special #24,Bowl,Dinner,Mexican,511,31,50,18,11,329,false,,Fresh ingredients,,93,83,25,Medium,true
10,Protein Oats 25,Healthy chef special #25,Meal,Breakfast,Healthy Indian,518,34,55,20,4,179,true,,Fresh ingredients,,94,84,10,None,true
11,Greek Yogurt Parfait 26,Healthy chef special #26,Meal,Lunch,Continental,525,37,60,22,5,199,true,,Fresh ingredients,Milk,95,85,15,Mild,true
12,Chicken Caesar Salad 27,Healthy chef special #27,Meal,Dinner,Mediterranean,532,40,65,24,6,219,false,,Fresh ingredients,,96,86,20,Medium,true
13,Peri Peri Chicken Bowl 28,Healthy chef special #28,Bowl,Breakfast,Mexican,539,43,25,8,7,249,false,,Fresh ingredients,,97,87,25,None,true
14,Muscle Gain Rice Bowl 29,Healthy chef special #29,Bowl,Lunch,Healthy Indian,546,46,30,10,8,269,false,,Fresh ingredients,,98,88,10,Mild,true
15,Tofu Power Bowl 30,Healthy chef special #30,Bowl,Dinner,Continental,553,49,35,12,9,289,true,,Fresh ingredients,,99,89,15,Medium,true
1,Chicken Quinoa Bowl 31,Healthy chef special #31,Bowl,Breakfast,Mediterranean,560,22,40,14,10,299,false,,Fresh ingredients,,85,90,20,None,true
2,BBQ Chicken Bowl 32,Healthy chef special #32,Bowl,Lunch,Mexican,567,25,45,16,11,329,false,,Fresh ingredients,,86,91,25,Mild,true
3,Paneer Protein Plate 33,Healthy chef special #33,Meal,Dinner,Healthy Indian,574,28,50,18,4,179,true,,Fresh ingredients,Milk,87,92,10,Medium,true
4,Turkey Wrap 34,Healthy chef special #34,Wrap,Breakfast,Continental,581,31,55,20,5,199,false,,Fresh ingredients,,88,93,15,None,true
5,Avocado Chicken Bowl 35,Healthy chef special #35,Bowl,Lunch,Mediterranean,588,34,60,22,6,219,false,,Fresh ingredients,,89,94,20,Mild,true
6,Salmon Power Bowl 36,Healthy chef special #36,Bowl,Dinner,Mexican,595,37,65,24,7,249,false,,Fresh ingredients,,90,95,25,Medium,true
7,Lean Beef Bowl 37,Healthy chef special #37,Bowl,Breakfast,Healthy Indian,602,40,25,8,8,269,false,,Fresh ingredients,,91,96,10,None,true
8,Moong Protein Bowl 38,Healthy chef special #38,Bowl,Lunch,Continental,609,43,30,10,9,289,true,,Fresh ingredients,,92,97,15,Mild,true
9,Protein Pancakes 39,Healthy chef special #39,Meal,Dinner,Mediterranean,616,46,35,12,10,299,true,,Fresh ingredients,,93,98,20,Medium,true
10,Chicken Tikka Bowl 40,Healthy chef special #40,Bowl,Breakfast,Mexican,623,49,40,14,11,329,false,,Fresh ingredients,,94,99,25,None,true
11,Grilled Chicken Power Bowl 41,Healthy chef special #41,Bowl,Lunch,Healthy Indian,630,22,45,16,4,179,false,,Fresh ingredients,,95,80,10,Mild,true
12,High Protein Paneer Bowl 42,Healthy chef special #42,Bowl,Dinner,Continental,637,25,50,18,5,199,true,,Fresh ingredients,Milk,96,81,15,Medium,true
13,Egg White Wrap 43,Healthy chef special #43,Wrap,Breakfast,Mediterranean,644,28,55,20,6,219,false,,Fresh ingredients,,97,82,20,None,true
14,Chicken Burrito Bowl 44,Healthy chef special #44,Bowl,Lunch,Mexican,651,31,60,22,7,249,false,,Fresh ingredients,,98,83,25,Mild,true
15,Protein Oats 45,Healthy chef special #45,Meal,Dinner,Healthy Indian,658,34,65,24,8,269,true,,Fresh ingredients,,99,84,10,Medium,true
1,Greek Yogurt Parfait 46,Healthy chef special #46,Meal,Breakfast,Continental,665,37,25,8,9,289,true,,Fresh ingredients,Milk,85,85,15,None,true
2,Chicken Caesar Salad 47,Healthy chef special #47,Meal,Lunch,Mediterranean,352,40,30,10,10,299,false,,Fresh ingredients,,86,86,20,Mild,true
3,Peri Peri Chicken Bowl 48,Healthy chef special #48,Bowl,Dinner,Mexican,359,43,35,12,11,329,false,,Fresh ingredients,,87,87,25,Medium,true
4,Muscle Gain Rice Bowl 49,Healthy chef special #49,Bowl,Breakfast,Healthy Indian,366,46,40,14,4,179,false,,Fresh ingredients,,88,88,10,None,true
5,Tofu Power Bowl 50,Healthy chef special #50,Bowl,Lunch,Continental,373,49,45,16,5,199,true,,Fresh ingredients,,89,89,15,Mild,true
6,Chicken Quinoa Bowl 51,Healthy chef special #51,Bowl,Dinner,Mediterranean,380,22,50,18,6,219,false,,Fresh ingredients,,90,90,20,Medium,true
7,BBQ Chicken Bowl 52,Healthy chef special #52,Bowl,Breakfast,Mexican,387,25,55,20,7,249,false,,Fresh ingredients,,91,91,25,None,true
8,Paneer Protein Plate 53,Healthy chef special #53,Meal,Lunch,Healthy Indian,394,28,60,22,8,269,true,,Fresh ingredients,Milk,92,92,10,Mild,true
9,Turkey Wrap 54,Healthy chef special #54,Wrap,Dinner,Continental,401,31,65,24,9,289,false,,Fresh ingredients,,93,93,15,Medium,true
10,Avocado Chicken Bowl 55,Healthy chef special #55,Bowl,Breakfast,Mediterranean,408,34,25,8,10,299,false,,Fresh ingredients,,94,94,20,None,true
11,Salmon Power Bowl 56,Healthy chef special #56,Bowl,Lunch,Mexican,415,37,30,10,11,329,false,,Fresh ingredients,,95,95,25,Mild,true
12,Lean Beef Bowl 57,Healthy chef special #57,Bowl,Dinner,Healthy Indian,422,40,35,12,4,179,false,,Fresh ingredients,,96,96,10,Medium,true
13,Moong Protein Bowl 58,Healthy chef special #58,Bowl,Breakfast,Continental,429,43,40,14,5,199,true,,Fresh ingredients,,97,97,15,None,true
14,Protein Pancakes 59,Healthy chef special #59,Meal,Lunch,Mediterranean,436,46,45,16,6,219,true,,Fresh ingredients,,98,98,20,Mild,true
15,Chicken Tikka Bowl 60,Healthy chef special #60,Bowl,Dinner,Mexican,443,49,50,18,7,249,false,,Fresh ingredients,,99,99,25,Medium,true
1,Grilled Chicken Power Bowl 61,Healthy chef special #61,Bowl,Breakfast,Healthy Indian,450,22,55,20,8,269,false,,Fresh ingredients,,85,80,10,None,true
2,High Protein Paneer Bowl 62,Healthy chef special #62,Bowl,Lunch,Continental,457,25,60,22,9,289,true,,Fresh ingredients,Milk,86,81,15,Mild,true
3,Egg White Wrap 63,Healthy chef special #63,Wrap,Dinner,Mediterranean,464,28,65,24,10,299,false,,Fresh ingredients,,87,82,20,Medium,true
4,Chicken Burrito Bowl 64,Healthy chef special #64,Bowl,Breakfast,Mexican,471,31,25,8,11,329,false,,Fresh ingredients,,88,83,25,None,true
5,Protein Oats 65,Healthy chef special #65,Meal,Lunch,Healthy Indian,478,34,30,10,4,179,true,,Fresh ingredients,,89,84,10,Mild,true
6,Greek Yogurt Parfait 66,Healthy chef special #66,Meal,Dinner,Continental,485,37,35,12,5,199,true,,Fresh ingredients,Milk,90,85,15,Medium,true
7,Chicken Caesar Salad 67,Healthy chef special #67,Meal,Breakfast,Mediterranean,492,40,40,14,6,219,false,,Fresh ingredients,,91,86,20,None,true
8,Peri Peri Chicken Bowl 68,Healthy chef special #68,Bowl,Lunch,Mexican,499,43,45,16,7,249,false,,Fresh ingredients,,92,87,25,Mild,true
9,Muscle Gain Rice Bowl 69,Healthy chef special #69,Bowl,Dinner,Healthy Indian,506,46,50,18,8,269,false,,Fresh ingredients,,93,88,10,Medium,true
10,Tofu Power Bowl 70,Healthy chef special #70,Bowl,Breakfast,Continental,513,49,55,20,9,289,true,,Fresh ingredients,,94,89,15,None,true
11,Chicken Quinoa Bowl 71,Healthy chef special #71,Bowl,Lunch,Mediterranean,520,22,60,22,10,299,false,,Fresh ingredients,,95,90,20,Mild,true
12,BBQ Chicken Bowl 72,Healthy chef special #72,Bowl,Dinner,Mexican,527,25,65,24,11,329,false,,Fresh ingredients,,96,91,25,Medium,true
13,Paneer Protein Plate 73,Healthy chef special #73,Meal,Breakfast,Healthy Indian,534,28,25,8,4,179,true,,Fresh ingredients,Milk,97,92,10,None,true
14,Turkey Wrap 74,Healthy chef special #74,Wrap,Lunch,Continental,541,31,30,10,5,199,false,,Fresh ingredients,,98,93,15,Mild,true
15,Avocado Chicken Bowl 75,Healthy chef special #75,Bowl,Dinner,Mediterranean,548,34,35,12,6,219,false,,Fresh ingredients,,99,94,20,Medium,true
1,Salmon Power Bowl 76,Healthy chef special #76,Bowl,Breakfast,Mexican,555,37,40,14,7,249,false,,Fresh ingredients,,85,95,25,None,true
2,Lean Beef Bowl 77,Healthy chef special #77,Bowl,Lunch,Healthy Indian,562,40,45,16,8,269,false,,Fresh ingredients,,86,96,10,Mild,true
3,Moong Protein Bowl 78,Healthy chef special #78,Bowl,Dinner,Continental,569,43,50,18,9,289,true,,Fresh ingredients,,87,97,15,Medium,true
4,Protein Pancakes 79,Healthy chef special #79,Meal,Breakfast,Mediterranean,576,46,55,20,10,299,true,,Fresh ingredients,,88,98,20,None,true
5,Chicken Tikka Bowl 80,Healthy chef special #80,Bowl,Lunch,Mexican,583,49,60,22,11,329,false,,Fresh ingredients,,89,99,25,Mild,true
6,Grilled Chicken Power Bowl 81,Healthy chef special #81,Bowl,Dinner,Healthy Indian,590,22,65,24,4,179,false,,Fresh ingredients,,90,80,10,Medium,true
7,High Protein Paneer Bowl 82,Healthy chef special #82,Bowl,Breakfast,Continental,597,25,25,8,5,199,true,,Fresh ingredients,Milk,91,81,15,None,true
8,Egg White Wrap 83,Healthy chef special #83,Wrap,Lunch,Mediterranean,604,28,30,10,6,219,false,,Fresh ingredients,,92,82,20,Mild,true
9,Chicken Burrito Bowl 84,Healthy chef special #84,Bowl,Dinner,Mexican,611,31,35,12,7,249,false,,Fresh ingredients,,93,83,25,Medium,true
10,Protein Oats 85,Healthy chef special #85,Meal,Breakfast,Healthy Indian,618,34,40,14,8,269,true,,Fresh ingredients,,94,84,10,None,true
11,Greek Yogurt Parfait 86,Healthy chef special #86,Meal,Lunch,Continental,625,37,45,16,9,289,true,,Fresh ingredients,Milk,95,85,15,Mild,true
12,Chicken Caesar Salad 87,Healthy chef special #87,Meal,Dinner,Mediterranean,632,40,50,18,10,299,false,,Fresh ingredients,,96,86,20,Medium,true
13,Peri Peri Chicken Bowl 88,Healthy chef special #88,Bowl,Breakfast,Mexican,639,43,55,20,11,329,false,,Fresh ingredients,,97,87,25,None,true
14,Muscle Gain Rice Bowl 89,Healthy chef special #89,Bowl,Lunch,Healthy Indian,646,46,60,22,4,179,false,,Fresh ingredients,,98,88,10,Mild,true
15,Tofu Power Bowl 90,Healthy chef special #90,Bowl,Dinner,Continental,653,49,65,24,5,199,true,,Fresh ingredients,,99,89,15,Medium,true
1,Chicken Quinoa Bowl 91,Healthy chef special #91,Bowl,Breakfast,Mediterranean,660,22,25,8,6,219,false,,Fresh ingredients,,85,90,20,None,true
2,BBQ Chicken Bowl 92,Healthy chef special #92,Bowl,Lunch,Mexican,667,25,30,10,7,249,false,,Fresh ingredients,,86,91,25,Mild,true
3,Paneer Protein Plate 93,Healthy chef special #93,Meal,Dinner,Healthy Indian,354,28,35,12,8,269,true,,Fresh ingredients,Milk,87,92,10,Medium,true
4,Turkey Wrap 94,Healthy chef special #94,Wrap,Breakfast,Continental,361,31,40,14,9,289,false,,Fresh ingredients,,88,93,15,None,true
5,Avocado Chicken Bowl 95,Healthy chef special #95,Bowl,Lunch,Mediterranean,368,34,45,16,10,299,false,,Fresh ingredients,,89,94,20,Mild,true
6,Salmon Power Bowl 96,Healthy chef special #96,Bowl,Dinner,Mexican,375,37,50,18,11,329,false,,Fresh ingredients,,90,95,25,Medium,true
7,Lean Beef Bowl 97,Healthy chef special #97,Bowl,Breakfast,Healthy Indian,382,40,55,20,4,179,false,,Fresh ingredients,,91,96,10,None,true
8,Moong Protein Bowl 98,Healthy chef special #98,Bowl,Lunch,Continental,389,43,60,22,5,199,true,,Fresh ingredients,,92,97,15,Mild,true
9,Protein Pancakes 99,Healthy chef special #99,Meal,Dinner,Mediterranean,396,46,65,24,6,219,true,,Fresh ingredients,,93,98,20,Medium,true
10,Chicken Tikka Bowl 100,Healthy chef special #100,Bowl,Breakfast,Mexican,403,49,25,8,7,249,false,,Fresh ingredients,,94,99,25,None,true
1,Teriyaki Chicken Bowl 101,Healthy chef special #101,Bowl,Breakfast,Healthy Indian,360,20,22,7,4,179,false,,Fresh ingredients,,84,81,10,None,true
2,Mediterranean Paneer Bowl 102,Healthy chef special #102,Bowl,Lunch,Mediterranean,369,22,26,10,5,199,true,,Fresh ingredients,Milk,85,82,15,Mild,true
3,Thai Basil Chicken 103,Healthy chef special #103,Meal,Dinner,Asian,378,24,30,13,6,219,false,,Fresh ingredients,,86,83,20,Medium,true
4,Vegan Buddha Bowl 104,Healthy chef special #104,Bowl,Breakfast,Mexican,387,26,34,16,7,249,true,,Fresh ingredients,,87,84,25,None,true
5,Mexican Protein Wrap 105,Healthy chef special #105,Wrap,Lunch,Continental,396,28,38,19,8,269,false,,Fresh ingredients,,88,85,10,Mild,true
6,Spinach Corn Sandwich 106,Healthy chef special #106,Meal,Dinner,Healthy Indian,405,30,42,22,9,289,true,,Fresh ingredients,,89,86,15,Medium,true
7,Grilled Fish Plate 107,Healthy chef special #107,Meal,Breakfast,Mediterranean,414,32,46,7,10,299,false,,Fresh ingredients,,90,87,20,None,true
8,Protein Smoothie 108,Healthy chef special #108,Meal,Lunch,Asian,423,34,50,10,11,329,true,,Fresh ingredients,,91,88,25,Mild,true
9,Chicken Steak Meal 109,Healthy chef special #109,Meal,Dinner,Mexican,432,36,54,13,12,179,false,,Fresh ingredients,,92,89,10,Medium,true
10,Falafel Bowl 110,Healthy chef special #110,Bowl,Breakfast,Continental,441,38,58,16,4,199,true,,Fresh ingredients,,93,90,15,None,true
11,Egg Protein Muffins 111,Healthy chef special #111,Meal,Lunch,Healthy Indian,450,40,62,19,5,219,false,,Fresh ingredients,,94,91,20,Mild,true
12,Paneer Tikka Wrap 112,Healthy chef special #112,Wrap,Dinner,Mediterranean,459,42,66,22,6,249,true,,Fresh ingredients,Milk,95,92,25,Medium,true
13,Korean Chicken Bowl 113,Healthy chef special #113,Bowl,Breakfast,Asian,468,44,70,7,7,269,false,,Fresh ingredients,,96,93,10,None,true
14,Tofu Teriyaki Bowl 114,Healthy chef special #114,Bowl,Lunch,Mexican,477,46,24,10,8,289,true,,Fresh ingredients,,97,94,15,Mild,true
15,Beef Power Plate 115,Healthy chef special #115,Meal,Dinner,Continental,486,48,28,13,9,299,false,,Fresh ingredients,,98,95,20,Medium,true
1,Chickpea Quinoa Bowl 116,Healthy chef special #116,Bowl,Breakfast,Healthy Indian,495,50,32,16,10,329,true,,Fresh ingredients,,99,96,25,None,true
2,Turkey Rice Bowl 117,Healthy chef special #117,Bowl,Lunch,Mediterranean,504,52,36,19,11,179,false,,Fresh ingredients,,84,97,10,Mild,true
3,Oats Banana Pancakes 118,Healthy chef special #118,Meal,Dinner,Asian,513,54,40,22,12,199,true,,Fresh ingredients,,85,98,15,Medium,true
4,Chicken Spinach Wrap 119,Healthy chef special #119,Wrap,Breakfast,Mexican,522,21,44,7,4,219,false,,Fresh ingredients,,86,99,20,None,true
5,High Protein Khichdi 120,Healthy chef special #120,Meal,Lunch,Continental,531,23,48,10,5,249,true,,Fresh ingredients,,87,81,25,Mild,true
6,Teriyaki Chicken Bowl 121,Healthy chef special #121,Bowl,Dinner,Healthy Indian,540,25,52,13,6,269,false,,Fresh ingredients,,88,82,10,Medium,true
7,Mediterranean Paneer Bowl 122,Healthy chef special #122,Bowl,Breakfast,Mediterranean,549,27,56,16,7,289,true,,Fresh ingredients,Milk,89,83,15,None,true
8,Thai Basil Chicken 123,Healthy chef special #123,Meal,Lunch,Asian,558,29,60,19,8,299,false,,Fresh ingredients,,90,84,20,Mild,true
9,Vegan Buddha Bowl 124,Healthy chef special #124,Bowl,Dinner,Mexican,567,31,64,22,9,329,true,,Fresh ingredients,,91,85,25,Medium,true
10,Mexican Protein Wrap 125,Healthy chef special #125,Wrap,Breakfast,Continental,576,33,68,7,10,179,false,,Fresh ingredients,,92,86,10,None,true
11,Spinach Corn Sandwich 126,Healthy chef special #126,Meal,Lunch,Healthy Indian,585,35,22,10,11,199,true,,Fresh ingredients,,93,87,15,Mild,true
12,Grilled Fish Plate 127,Healthy chef special #127,Meal,Dinner,Mediterranean,594,37,26,13,12,219,false,,Fresh ingredients,,94,88,20,Medium,true
13,Protein Smoothie 128,Healthy chef special #128,Meal,Breakfast,Asian,603,39,30,16,4,249,true,,Fresh ingredients,,95,89,25,None,true
14,Chicken Steak Meal 129,Healthy chef special #129,Meal,Lunch,Mexican,612,41,34,19,5,269,false,,Fresh ingredients,,96,90,10,Mild,true
15,Falafel Bowl 130,Healthy chef special #130,Bowl,Dinner,Continental,621,43,38,22,6,289,true,,Fresh ingredients,,97,91,15,Medium,true
1,Egg Protein Muffins 131,Healthy chef special #131,Meal,Breakfast,Healthy Indian,630,45,42,7,7,299,false,,Fresh ingredients,,98,92,20,None,true
2,Paneer Tikka Wrap 132,Healthy chef special #132,Wrap,Lunch,Mediterranean,639,47,46,10,8,329,true,,Fresh ingredients,Milk,99,93,25,Mild,true
3,Korean Chicken Bowl 133,Healthy chef special #133,Bowl,Dinner,Asian,648,49,50,13,9,179,false,,Fresh ingredients,,84,94,10,Medium,true
4,Tofu Teriyaki Bowl 134,Healthy chef special #134,Bowl,Breakfast,Mexican,657,51,54,16,10,199,true,,Fresh ingredients,,85,95,15,None,true
5,Beef Power Plate 135,Healthy chef special #135,Meal,Lunch,Continental,666,53,58,19,11,219,false,,Fresh ingredients,,86,96,20,Mild,true
6,Chickpea Quinoa Bowl 136,Healthy chef special #136,Bowl,Dinner,Healthy Indian,675,20,62,22,12,249,true,,Fresh ingredients,,87,97,25,Medium,true
7,Turkey Rice Bowl 137,Healthy chef special #137,Bowl,Breakfast,Mediterranean,684,22,66,7,4,269,false,,Fresh ingredients,,88,98,10,None,true
8,Oats Banana Pancakes 138,Healthy chef special #138,Meal,Lunch,Asian,693,24,70,10,5,289,true,,Fresh ingredients,,89,99,15,Mild,true
9,Chicken Spinach Wrap 139,Healthy chef special #139,Wrap,Dinner,Mexican,362,26,24,13,6,299,false,,Fresh ingredients,,90,81,20,Medium,true
10,High Protein Khichdi 140,Healthy chef special #140,Meal,Breakfast,Continental,371,28,28,16,7,329,true,,Fresh ingredients,,91,82,25,None,true
11,Teriyaki Chicken Bowl 141,Healthy chef special #141,Bowl,Lunch,Healthy Indian,380,30,32,19,8,179,false,,Fresh ingredients,,92,83,10,Mild,true
12,Mediterranean Paneer Bowl 142,Healthy chef special #142,Bowl,Dinner,Mediterranean,389,32,36,22,9,199,true,,Fresh ingredients,Milk,93,84,15,Medium,true
13,Thai Basil Chicken 143,Healthy chef special #143,Meal,Breakfast,Asian,398,34,40,7,10,219,false,,Fresh ingredients,,94,85,20,None,true
14,Vegan Buddha Bowl 144,Healthy chef special #144,Bowl,Lunch,Mexican,407,36,44,10,11,249,true,,Fresh ingredients,,95,86,25,Mild,true
15,Mexican Protein Wrap 145,Healthy chef special #145,Wrap,Dinner,Continental,416,38,48,13,12,269,false,,Fresh ingredients,,96,87,10,Medium,true
1,Spinach Corn Sandwich 146,Healthy chef special #146,Meal,Breakfast,Healthy Indian,425,40,52,16,4,289,true,,Fresh ingredients,,97,88,15,None,true
2,Grilled Fish Plate 147,Healthy chef special #147,Meal,Lunch,Mediterranean,434,42,56,19,5,299,false,,Fresh ingredients,,98,89,20,Mild,true
3,Protein Smoothie 148,Healthy chef special #148,Meal,Dinner,Asian,443,44,60,22,6,329,true,,Fresh ingredients,,99,90,25,Medium,true
4,Chicken Steak Meal 149,Healthy chef special #149,Meal,Breakfast,Mexican,452,46,64,7,7,179,false,,Fresh ingredients,,84,91,10,None,true
5,Falafel Bowl 150,Healthy chef special #150,Bowl,Lunch,Continental,461,48,68,10,8,199,true,,Fresh ingredients,,85,92,15,Mild,true
6,Egg Protein Muffins 151,Healthy chef special #151,Meal,Dinner,Healthy Indian,470,50,22,13,9,219,false,,Fresh ingredients,,86,93,20,Medium,true
7,Paneer Tikka Wrap 152,Healthy chef special #152,Wrap,Breakfast,Mediterranean,479,52,26,16,10,249,true,,Fresh ingredients,Milk,87,94,25,None,true
8,Korean Chicken Bowl 153,Healthy chef special #153,Bowl,Lunch,Asian,488,54,30,19,11,269,false,,Fresh ingredients,,88,95,10,Mild,true
9,Tofu Teriyaki Bowl 154,Healthy chef special #154,Bowl,Dinner,Mexican,497,21,34,22,12,289,true,,Fresh ingredients,,89,96,15,Medium,true
10,Beef Power Plate 155,Healthy chef special #155,Meal,Breakfast,Continental,506,23,38,7,4,299,false,,Fresh ingredients,,90,97,20,None,true
11,Chickpea Quinoa Bowl 156,Healthy chef special #156,Bowl,Lunch,Healthy Indian,515,25,42,10,5,329,true,,Fresh ingredients,,91,98,25,Mild,true
12,Turkey Rice Bowl 157,Healthy chef special #157,Bowl,Dinner,Mediterranean,524,27,46,13,6,179,false,,Fresh ingredients,,92,99,10,Medium,true
13,Oats Banana Pancakes 158,Healthy chef special #158,Meal,Breakfast,Asian,533,29,50,16,7,199,true,,Fresh ingredients,,93,81,15,None,true
14,Chicken Spinach Wrap 159,Healthy chef special #159,Wrap,Lunch,Mexican,542,31,54,19,8,219,false,,Fresh ingredients,,94,82,20,Mild,true
15,High Protein Khichdi 160,Healthy chef special #160,Meal,Dinner,Continental,551,33,58,22,9,249,true,,Fresh ingredients,,95,83,25,Medium,true
1,Teriyaki Chicken Bowl 161,Healthy chef special #161,Bowl,Breakfast,Healthy Indian,560,35,62,7,10,269,false,,Fresh ingredients,,96,84,10,None,true
2,Mediterranean Paneer Bowl 162,Healthy chef special #162,Bowl,Lunch,Mediterranean,569,37,66,10,11,289,true,,Fresh ingredients,Milk,97,85,15,Mild,true
3,Thai Basil Chicken 163,Healthy chef special #163,Meal,Dinner,Asian,578,39,70,13,12,299,false,,Fresh ingredients,,98,86,20,Medium,true
4,Vegan Buddha Bowl 164,Healthy chef special #164,Bowl,Breakfast,Mexican,587,41,24,16,4,329,true,,Fresh ingredients,,99,87,25,None,true
5,Mexican Protein Wrap 165,Healthy chef special #165,Wrap,Lunch,Continental,596,43,28,19,5,179,false,,Fresh ingredients,,84,88,10,Mild,true
6,Spinach Corn Sandwich 166,Healthy chef special #166,Meal,Dinner,Healthy Indian,605,45,32,22,6,199,true,,Fresh ingredients,,85,89,15,Medium,true
7,Grilled Fish Plate 167,Healthy chef special #167,Meal,Breakfast,Mediterranean,614,47,36,7,7,219,false,,Fresh ingredients,,86,90,20,None,true
8,Protein Smoothie 168,Healthy chef special #168,Meal,Lunch,Asian,623,49,40,10,8,249,true,,Fresh ingredients,,87,91,25,Mild,true
9,Chicken Steak Meal 169,Healthy chef special #169,Meal,Dinner,Mexican,632,51,44,13,9,269,false,,Fresh ingredients,,88,92,10,Medium,true
10,Falafel Bowl 170,Healthy chef special #170,Bowl,Breakfast,Continental,641,53,48,16,10,289,true,,Fresh ingredients,,89,93,15,None,true
11,Egg Protein Muffins 171,Healthy chef special #171,Meal,Lunch,Healthy Indian,650,20,52,19,11,299,false,,Fresh ingredients,,90,94,20,Mild,true
12,Paneer Tikka Wrap 172,Healthy chef special #172,Wrap,Dinner,Mediterranean,659,22,56,22,12,329,true,,Fresh ingredients,Milk,91,95,25,Medium,true
13,Korean Chicken Bowl 173,Healthy chef special #173,Bowl,Breakfast,Asian,668,24,60,7,4,179,false,,Fresh ingredients,,92,96,10,None,true
14,Tofu Teriyaki Bowl 174,Healthy chef special #174,Bowl,Lunch,Mexican,677,26,64,10,5,199,true,,Fresh ingredients,,93,97,15,Mild,true
15,Beef Power Plate 175,Healthy chef special #175,Meal,Dinner,Continental,686,28,68,13,6,219,false,,Fresh ingredients,,94,98,20,Medium,true
1,Chickpea Quinoa Bowl 176,Healthy chef special #176,Bowl,Breakfast,Healthy Indian,695,30,22,16,7,249,true,,Fresh ingredients,,95,99,25,None,true
